Entity,Code,Year,month,dates,Total_Meat_Consumption
Brazil,BRA,1974,January,January-1974,3278344860
Brazil,BRA,1975,January,January-1975,3423406879.9999995
Brazil,BRA,1976,January,January-1976,3643963289.9999995
Brazil,BRA,1977,January,January-1977,3799965000.0000005
Brazil,BRA,1978,January,January-1978,4230696750
Brazil,BRA,1979,January,January-1979,4600778339.999999
Brazil,BRA,1980,January,January-1980,4948454000
Brazil,BRA,1981,January,January-1981,4972456800
Brazil,BRA,1982,January,January-1982,4899267540.000001
Brazil,BRA,1983,January,January-1983,5027799160
Brazil,BRA,1984,January,January-1984,4865112000
Brazil,BRA,1985,January,January-1985,5107946240
Brazil,BRA,1986,January,January-1986,6068509108.48
Brazil,BRA,1987,January,January-1987,6259831560
Brazil,BRA,1988,January,January-1988,6437406960.000001
Brazil,BRA,1989,January,January-1989,7127636880.000001
Brazil,BRA,1990,January,January-1990,7360748595.2
Brazil,BRA,1991,January,January-1991,7982750720
Brazil,BRA,1992,January,January-1992,8280623549.44
Brazil,BRA,1993,January,January-1993,8673749257.6
Brazil,BRA,1994,January,January-1994,9655261995.519999
Brazil,BRA,1995,January,January-1995,11182620400
Brazil,BRA,1996,January,January-1996,11564204312
Brazil,BRA,1997,January,January-1997,12027342794.560001
Brazil,BRA,1998,January,January-1998,12261872122.24
Brazil,BRA,1999,January,January-1999,13170341781.44
Brazil,BRA,2000,January,January-2000,13804914199.999998
Brazil,BRA,2001,January,January-2001,13534230480.000002
Brazil,BRA,2002,January,January-2002,14127845220
Brazil,BRA,2003,January,January-2003,14484722392.64
Brazil,BRA,2004,January,January-2004,14943127259.999998
Brazil,BRA,2005,January,January-2005,13870184636.16
Brazil,BRA,2006,January,January-2006,14658209923.2
Brazil,BRA,2007,January,January-2007,15313070199.999998
Brazil,BRA,2008,January,January-2008,16551065699.999996
Brazil,BRA,2009,January,January-2009,16523050821.76
Brazil,BRA,2010,January,January-2010,17508574440
Brazil,BRA,2011,January,January-2011,18364945443.84
Brazil,BRA,2012,January,January-2012,18639313858.24
Brazil,BRA,2013,January,January-2013,19617092880
Brazil,BRA,2014,January,January-2014,19514007360
Brazil,BRA,2015,January,January-2015,20013719360
Brazil,BRA,2016,January,January-2016,20051414158.079994
Brazil,BRA,2017,January,January-2017,20750146560
Canada,CAN,1961,January,January-1961,1433739420.0000002
Canada,CAN,1962,January,January-1962,1459120620
Canada,CAN,1963,January,January-1963,1536277300
Canada,CAN,1964,January,January-1964,1647432120.0000002
Canada,CAN,1965,January,January-1965,1688008000
Canada,CAN,1966,January,January-1966,1738311520.0000002
Canada,CAN,1967,January,January-1967,1862379750
Canada,CAN,1968,January,January-1968,1891762500
Canada,CAN,1969,January,January-1969,1920002999.9999998
Canada,CAN,1970,January,January-1970,2021766660
Canada,CAN,1971,January,January-1971,2097138419.9999998
Canada,CAN,1972,January,January-1972,2118691280.0000002
Canada,CAN,1973,January,January-1973,2106337550
Canada,CAN,1974,January,January-1974,2177929500
Canada,CAN,1975,January,January-1975,2204440400
Canada,CAN,1976,January,January-1976,2348578800
Canada,CAN,1977,January,January-1977,2321095140
Canada,CAN,1978,January,January-1978,2302479660
Canada,CAN,1979,January,January-1979,2299643980
Canada,CAN,1980,January,January-1980,2387494260
Canada,CAN,1981,January,January-1981,2406610080
Canada,CAN,1982,January,January-1982,2370105040
Canada,CAN,1983,January,January-1983,2407857860.0000005
Canada,CAN,1984,January,January-1984,2396155650
Canada,CAN,1985,January,January-1985,2483105249.9999995
Canada,CAN,1986,January,January-1986,2502513720
Canada,CAN,1987,January,January-1987,2505848400.0000005
Canada,CAN,1988,January,January-1988,2579005260
Canada,CAN,1989,January,January-1989,2551292730
Canada,CAN,1990,January,January-1990,2532670360
Canada,CAN,1991,January,January-1991,2537899000
Canada,CAN,1992,January,January-1992,2616647040
Canada,CAN,1993,January,January-1993,2609572680.0000005
Canada,CAN,1994,January,January-1994,2740063340
Canada,CAN,1995,January,January-1995,2733541720
Canada,CAN,1996,January,January-1996,2705717300.0000005
Canada,CAN,1997,January,January-1997,2761247280
Canada,CAN,1998,January,January-1998,2943657100.0000005
Canada,CAN,1999,January,January-1999,3092421150
Canada,CAN,2000,January,January-2000,3097952640.0000005
Canada,CAN,2001,January,January-2001,3127526400
Canada,CAN,2002,January,January-2002,3141183500.0000005
Canada,CAN,2003,January,January-2003,3123294720
Canada,CAN,2004,January,January-2004,3172273650
Canada,CAN,2005,January,January-2005,3068123959.9999995
Canada,CAN,2006,January,January-2006,3107934240.0000005
Canada,CAN,2007,January,January-2007,3253253489.9999995
Canada,CAN,2008,January,January-2008,3212116300
Canada,CAN,2009,January,January-2009,3182247800
Canada,CAN,2010,January,January-2010,3142640439.9999995
Canada,CAN,2011,January,January-2011,3173788710
Canada,CAN,2012,January,January-2012,3229237340.0000005
Canada,CAN,2013,January,January-2013,3203555720
Canada,CAN,2014,January,January-2014,3186578400
Canada,CAN,2015,January,January-2015,3284941860.0000005
Canada,CAN,2016,January,January-2016,3049986890
Canada,CAN,2017,January,January-2017,3034430520.0000005
China,CHN,1961,January,January-1961,2234273569.92
China,CHN,1962,January,January-1962,2707948814.72
China,CHN,1963,January,January-1963,4318788629.76
China,CHN,1964,January,January-1964,5531471362.56
China,CHN,1965,January,January-1965,6271736609.280002
China,CHN,1966,January,January-1966,6793097030.400001
China,CHN,1967,January,January-1967,7214016184.320001
China,CHN,1968,January,January-1968,7142923322.880001
China,CHN,1969,January,January-1969,7012078060.799999
China,CHN,1970,January,January-1970,6951848601.6
China,CHN,1971,January,January-1971,7918930800
