per_capita_land_use,Total_land_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Meat_Consumption,month,dates
9841.944376238342,382782742625.03784,Argentina,ARG,2005,56.04,24.35,5.44,2.37,1.59,89.79,38893000,3492202470.0000005,January,January-2005
9775.405695768182,384075689786.7319,Argentina,ARG,2006,55.59,27.78,6.59,2.21,1.62,93.79,39290000,3685009100.0000005,January,January-2006
9742.531678513662,386622627130.13617,Argentina,ARG,2007,55.11,28.95,7.03,2.39,1.46,94.94,39684000,3767598960,January,January-2007
9636.4579205043,386229233453.8123,Argentina,ARG,2008,54.69,31.57,7.75,2.05,1.26,97.32,40080000,3900585599.9999995,January,January-2008
9642.49918520442,390357294514.63055,Argentina,ARG,2009,54.57,33.46,8.18,2.09,1.35,99.65,40483000,4034130950,January,January-2009
9632.7689511781,393941719027.37964,Argentina,ARG,2010,54.65,34.63,8.25,1.92,1.24,100.69,40896000,4117818240,January,January-2010
9676.60797146524,399837441380.9437,Argentina,ARG,2011,54.94,38.47,9.02,1.71,1.2,105.33999999999999,41320000,4352648800,January,January-2011
9718.61046844694,405800580110.00195,Argentina,ARG,2012,55.29,39.43,8.92,1.6,1.03,106.27,41755000,4437303850,January,January-2012
9753.964942932258,411578304731.96954,Argentina,ARG,2013,55.48,38.66,10.51,1.56,1.04,107.25,42196000,4525521000,January,January-2013
9489.23319224434,404601924850.9142,Argentina,ARG,2014,54.05,36.88,10.02,1.49,1.03,103.47,42638000,4411753860,January,January-2014
9555.39162948452,411598494440.0457,Argentina,ARG,2015,54.26,42.24,9.99,1.46,0.99,108.93999999999998,43075000,4692590499.999999,January,January-2015
9456.685179939337,411441458808.80066,Argentina,ARG,2016,53.82,41.85,10.15,1.32,1.04,108.18,43508000,4706695440,January,January-2016
9513.420461511481,417991154817.42993,Argentina,ARG,2017,54.16,42.24,10.7,1.28,1,109.38000000000001,43937000,4805829060,January,January-2017
15425.688219398839,161136739139.84027,Australia,AUS,1961,41.25,4.8,10.34,46.12,2.44,104.94999999999999,10446000,1096307700,January,January-1961
16537.91194257416,176012996804.81677,Australia,AUS,1962,49.59,4.66,11.32,44.71,2.14,112.42,10643000,1196486060,January,January-1962
16503.97239838802,178985580660.5181,Australia,AUS,1963,51.9,4.67,10.81,42.5,2.68,112.56,10845000,1220713200,January,January-1963
16691.64641931358,184693067629.70477,Australia,AUS,1964,55.02,5.31,10.39,40.76,2.36,113.83999999999999,11065000,1259639599.9999998,January,January-1964
15855.46601957904,179372887079.49768,Australia,AUS,1965,52.16,6.31,10.8,38.71,2.12,110.1,11313000,1245561300,January,January-1965
15087.632205562819,174910920159.08975,Australia,AUS,1966,48.43,5.91,11.52,37.83,2.15,105.84,11593000,1227003120,January,January-1966
14154.67483662366,168440630555.82156,Australia,AUS,1967,43.42,7.36,11.65,37.16,1.84,101.43,11900000,1207017000,January,January-1967
