Total_water_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Consumption,dates,month
377856.99,Vietnam,VNM,2012,7.48,12.4,34.7,0.13,0.29,55.00000000000001,89802000,4939110000.000001,January-2012,January
597821.36,"United Kingdom",GBR,2017,17.8,31.94,24.71,4.26,1.19,79.9,66727000,5331487300,January-2017,January
1060001.81,"United States",USA,2006,42.4,52.97,28.85,0.52,0.8,125.53999999999999,297759008,37380665864.32,January-2006,January
565357.1900000001,"United Kingdom",GBR,2014,17.39,28.29,22.79,4.39,1.48,74.34,65423000,4863545820,January-2014,January
1087872.05,"United States",USA,1970,52.27,21.44,29.64,1.36,1.13,105.84,209512992,22174855073.280003,January-1970,January
1052235.4,"United States",USA,1987,47.34,34.55,27.95,0.65,0.81,111.30000000000001,245052992,27274398009.600002,January-1987,January
1026555.5900000001,"United States",USA,1989,44.17,37.49,29.64,0.69,0.76,112.75,249726000,28156606500,January-1989,January
950438.71,"United States",USA,2012,36.96,49.52,27.21,0.41,0.81,114.91,314044000,36086796040,January-2012,January
82734.49,Vietnam,VNM,1966,2.04,1.76,7.25,0.03,0.07,11.15,38958000,434381700,January-1966,January
600871.72,"United Kingdom",GBR,2016,17.8,32.52,24.42,4.52,1.53,80.79,66298000,5356215420,January-2016,January
1093918.72,"United States",USA,1974,52.82,21.67,29.58,1.01,1.1,106.18,217115008,23053271549.440002,January-1974,January
76037.9,Vietnam,VNM,1970,2.07,1.6,6.17,0.03,0.06,9.93,43405000,431011650,January-1970,January
67633.39,Vietnam,VNM,1979,1.91,1.57,5.2,0.03,0.08,8.79,53095000,466705049.99999994,January-1979,January
1104546.5300000003,"United States",USA,1972,52.88,22.56,30.06,1.35,1.1,107.94999999999999,213270000,23022496499.999996,January-1972,January
1057088.54,"United States",USA,2000,43.5,47.38,29.54,0.54,0.72,121.67999999999999,281711008,34278595453.44,January-2000,January
960917.0499999999,"United States",USA,2015,35.18,54.67,29.72,0.48,0.81,120.86,320878016,38781317013.76,January-2015,January
75582.17,Vietnam,VNM,1972,2,1.89,6.05,0.04,0.08,10.059999999999999,45548000,458212879.99999994,January-1972,January
65102.71,Vietnam,VNM,1978,1.8,1.46,5.14,0.03,0.08,8.509999999999998,51959000,442171089.9999999,January-1978,January
98545.60999999999,Vietnam,VNM,1984,2.23,2.6,8.78,0.04,0.05,13.7,59513000,815328100,January-1984,January
100214.54000000001,Vietnam,VNM,1985,2.3,2.37,9.03,0.05,0.06,13.81,60897000,840987570,January-1985,January
107211.58,Vietnam,VNM,1987,2.22,2.57,10.26,0.05,0.16,15.260000000000002,63702000,972092520.0000001,January-1987,January
1100034.9000000001,"United States",USA,1971,51.88,21.64,32.56,1.34,1.12,108.54000000000002,211384000,22943619360.000004,January-1971,January
1105709.07,"United States",USA,1978,54.09,24.09,27,0.69,1.03,106.9,225223008,24076339555.2,January-1978,January
1046882.37,"United States",USA,1980,47.32,26.38,32.95,0.69,0.97,108.31,229476000,24854545560,January-1980,January
1069680.26,"United States",USA,1986,49.21,32.06,27.76,0.71,0.84,110.58000000000001,242763008,26844733424.640003,January-1986,January
1060622.72,"United States",USA,1988,46.78,35.78,29.86,0.68,0.81,113.91000000000001,247372000,28178144520.000004,January-1988,January
81718.65,Vietnam,VNM,1963,1.91,2.03,7.22,0.03,0.05,11.24,35721000,401504040,January-1963,January
63424.86,Vietnam,VNM,1977,1.73,1.46,5.04,0.03,0.08,8.34,50861000,424180740,January-1977,January
378951.42000000004,Vietnam,VNM,2013,7.44,12.36,35,0.14,0.29,55.23,90753000,5012288190,January-2013,January
890806.95,"United States",USA,1961,41.22,16.44,27.69,2.11,1.2,88.66,189570000,16807276200,January-1961,January
63308.45,Vietnam,VNM,1976,1.73,1.53,4.97,0.03,0.07,8.33,49785000,414709050,January-1976,January
1015980.8299999998,"United States",USA,1990,43.41,39.43,28.4,0.71,0.73,112.68,252120000,28408881600,January-1990,January
73244.47,Vietnam,VNM,1973,1.89,1.88,5.95,0.04,0.08,9.839999999999998,46604000,458583359.9999999,January-1973,January
122081.84,Vietnam,VNM,1994,2.35,2.27,12.64,0.04,0.21,17.51,73651000,1289629010,January-1994,January
972114.78,"United States",USA,1965,47,18.08,25.98,1.58,1.12,93.76,199734000,18727059840,January-1965,January
1048644.1800000002,"United States",USA,2003,42.09,49.65,30.12,0.54,0.77,123.17000000000002,289816000,35696636720.00001,January-2003,January
95870.77,Vietnam,VNM,1983,2.12,2.56,8.66,0.03,0.06,13.43,58148000,780927640,January-1983,January
899392.3700000001,"United States",USA,1962,41.55,16.3,28.39,2.1,1.11,89.44999999999999,192314000,17202487299.999996,January-1962,January
1060178.79,"United States",USA,1969,50.94,20.61,28.98,1.4,1.11,103.04,207659008,21397184184.32,January-1969,January
1090640.0899999999,"United States",USA,1975,54.93,21.16,24.13,0.9,1.08,102.2,219080992,22390077382.4,January-1975,January
1026561.3,"United States",USA,1997,42.85,45.04,27.82,0.53,0.64,116.88000000000001,271713984,31757930449.920002,January-1997,January
1033335.9199999999,"United States",USA,1973,49.64,21.6,27.48,1.16,1.11,100.99000000000001,215179008,21730928017.920002,January-1973,January
109987.26999999999,Vietnam,VNM,1989,2.36,2.47,10.45,0.04,0.16,15.479999999999999,66550000,1030193999.9999999,January-1989,January
280369.2,Vietnam,VNM,2007,4.25,6.8,30.75,0.15,0.28,42.23,85420000,3607286599.9999995,January-2007,January
338559.29000000004,Vietnam,VNM,2010,5.38,11.66,33.99,0.19,0.3,51.519999999999996,87968000,4532111360,January-2010,January
385106.44,Vietnam,VNM,2011,7.17,15.59,34.39,0.14,0.3,57.589999999999996,88871000,5118080890,January-2011,January
80491.06,Vietnam,VNM,1964,1.94,1.75,7.14,0.03,0.05,10.91,36780000,401269800,January-1964,January
64803.35,Vietnam,VNM,1975,1.83,1.45,5.02,0.03,0.06,8.39,48718000,408744020,January-1975,January
80838.20999999999,Vietnam,VNM,1981,1.92,2.04,7.04,0.03,0.07,11.1,55523000,616305300,January-1981,January
461960.32999999996,Vietnam,VNM,2014,12.34,13.28,35.54,0.17,0.14,61.47,91714000,5637659580,January-2014,January
1036228.5599999999,"United States",USA,1992,43.12,42.52,30.34,0.68,0.75,117.41000000000001,256991008,30173314249.280003,January-1992,January
1055181.77,"United States",USA,2007,41.89,52.67,29.56,0.53,0.82,125.47,300608000,37717285760,January-2007,January
