Total_water_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Consumption,dates,month
181954.18,Turkey,TUR,2004,5.47,12.93,0,4.76,0.04,23.199999999999996,67011000,1554655199.9999998,January-2004,January
171880.95,Turkey,TUR,2005,4.75,13.39,0,4.65,0.04,22.83,67903000,1550225490,January-2005,January
173035.32,Turkey,TUR,2006,4.96,13.03,0,4.59,0.04,22.619999999999997,68757000,1555283339.9999998,January-2006,January
200349.80000000002,Turkey,TUR,2007,6.19,14.84,0,4.65,0.04,25.72,69582000,1789649040,January-2007,January
183511.77,Turkey,TUR,2008,5.25,14.52,0,4.54,0.04,24.349999999999998,70419000,1714702649.9999998,January-2008,January
179429.85,Turkey,TUR,2009,4.55,16.76,0,4.2,0.03,25.540000000000003,71321000,1821538340.0000002,January-2009,January
255633.4,Turkey,TUR,2010,9.3,18.26,0,3.8,0.03,31.390000000000004,72327000,2270344530.0000005,January-2010,January
276967.49,Turkey,TUR,2011,10.34,19.02,0,4.03,0.03,33.42,73443000,2454465060,January-2011,January
293510.92,Turkey,TUR,2012,11.15,19.33,0,4.34,0.02,34.839999999999996,74651000,2600840839.9999995,January-2012,January
301724.82,Turkey,TUR,2013,11.64,18.78,0.01,4.68,0.02,35.13,75925000,2667245250,January-2013,January
308123.80000000005,Turkey,TUR,2014,11.82,19.49,0,4.75,0.03,36.09,77229000,2787194610.0000005,January-2014,January
318886.95,Turkey,TUR,2015,12.34,19.72,0,4.95,0.02,37.03000000000001,78529000,2907928870.0000005,January-2015,January
323277.56,Turkey,TUR,2016,12.47,20.13,0,5.02,0.02,37.64000000000001,79828000,3004725920.0000005,January-2016,January
334565.4,Turkey,TUR,2017,12.9,20.64,0,5.3,0.02,38.86,81116000,3152167760,January-2017,January
663354.32,"United Kingdom",GBR,1961,24.85,6.29,25.29,11.6,1.21,69.24,52728000,3650886719.9999995,January-1961,January
681628.25,"United Kingdom",GBR,1962,25.6,6.44,26.61,11.39,0.9,70.94,53109000,3767552460,January-1962,January
685892.8699999999,"United Kingdom",GBR,1963,26.33,6.36,26.13,10.96,0.6,70.38,53501000,3765400379.9999995,January-1963,January
655319.73,"United Kingdom",GBR,1964,23.85,6.9,26.96,11,1.07,69.78,53883000,3759955740,January-1964,January
638413.74,"United Kingdom",GBR,1965,22.09,7.27,28.81,10.72,1.13,70.02,54241000,3797954820,January-1965,January
660196.35,"United Kingdom",GBR,1966,23.71,8.02,27.56,10.84,0.82,70.94999999999999,54569000,3871670549.9999995,January-1966,January
662976.25,"United Kingdom",GBR,1967,24.07,8.7,26.46,10.94,0.81,70.98,54867000,3894459660,January-1967,January
657637.74,"United Kingdom",GBR,1968,23.27,9.8,27.17,10.71,0.87,71.82000000000001,55133000,3959652060.0000005,January-1968,January
665282.65,"United Kingdom",GBR,1969,23.97,10.13,27.46,9.99,0.66,72.21,55368000,3998123279.9999995,January-1969,January
667669.8200000001,"United Kingdom",GBR,1970,24.12,10.51,27.52,9.77,0.72,72.64,55573000,4036822720,January-1970,January
675553.61,"United Kingdom",GBR,1971,23.76,10.75,28.99,10.18,0.64,74.32000000000001,55749000,4143265680.0000005,January-1971,January
668182.96,"United Kingdom",GBR,1972,23.45,12.01,28.73,9.44,0.48,74.11,55892000,4142156120,January-1972,January
628695.85,"United Kingdom",GBR,1973,21.97,12.06,27.49,8.36,0.36,70.24,56006000,3933861439.9999995,January-1973,January
654360.52,"United Kingdom",GBR,1974,24.54,11.72,26.43,7.66,0.31,70.66,56092000,3963460720,January-1974,January
645267.3,"United Kingdom",GBR,1975,24.77,11.3,23.73,8.27,0.27,68.33999999999999,56152000,3837427679.9999995,January-1975,January
617119.4400000001,"United Kingdom",GBR,1976,22.95,12.24,24.06,7.57,0.23,67.05,56188000,3767405400,January-1976,January
613696.29,"United Kingdom",GBR,1977,22.57,12.37,25.28,6.95,0.25,67.42,56204000,3789273680,January-1977,January
643446.8200000001,"United Kingdom",GBR,1978,24.14,12.67,25.99,6.95,0.3,70.05,56206000,3937230300,January-1978,January
657075.94,"United Kingdom",GBR,1979,24.29,13.48,27.09,7.09,0.31,72.26,56205000,4061373300.0000005,January-1979,January
634246.49,"United Kingdom",GBR,1980,22.74,13.6,26.42,7.61,0.27,70.64,56209000,3970603760,January-1980,January
622599.78,"United Kingdom",GBR,1981,22.57,13.45,26.06,6.9,0.3,69.28,56221000,3894990880,January-1981,January
604807.13,"United Kingdom",GBR,1982,20.91,14.56,25.77,7.44,0.28,68.96,56241000,3878379359.9999995,January-1982,January
604367.49,"United Kingdom",GBR,1983,20.98,14.53,25.86,7.22,0.2,68.79,56277000,3871294830.0000005,January-1983,January
621287.46,"United Kingdom",GBR,1984,22.43,14.87,25,7.02,0.22,69.53999999999999,56333000,3917396819.9999995,January-1984,January
620146.37,"United Kingdom",GBR,1985,21.89,16.08,25.15,7.14,0.28,70.53999999999999,56414000,3979443559.9999995,January-1985,January
625220.33,"United Kingdom",GBR,1986,22.08,17.56,25.01,6.75,0.26,71.66000000000001,56523000,4050438180.0000005,January-1986,January
642490.1,"United Kingdom",GBR,1987,22.77,17.95,25.88,6.72,0.29,73.61,56658000,4170595380,January-1987,January
630610.6599999999,"United Kingdom",GBR,1988,21.65,18.82,25.99,6.83,0.12,73.41,56813000,4170642330,January-1988,January
622264.8400000001,"United Kingdom",GBR,1989,21.78,17.54,25.23,6.8,0.14,71.49,56974000,4073071259.9999995,January-1989,January
613951.77,"United Kingdom",GBR,1990,20.68,18.7,25.06,7.33,0.2,71.97,57134000,4111933980,January-1990,January
619797.9299999999,"United Kingdom",GBR,1991,21.12,19.17,24.93,7.08,0.22,72.52,57291000,4154743320,January-1991,January
625937.05,"United Kingdom",GBR,1992,20.55,23.24,24.6,7,0.24,75.63,57446000,4344640980,January-1992,January
571622.95,"United Kingdom",GBR,1993,17.02,23.73,24.38,6.92,0.19,72.24,57602000,4161168479.9999995,January-1993,January
575514.41,"United Kingdom",GBR,1994,16.85,25.08,24.99,6.58,0.19,73.69,57763000,4256555470,January-1994,January
579289.02,"United Kingdom",GBR,1995,17.39,25.34,23.94,6.65,0.18,73.50000000000001,57932000,4258002000.000001,January-1995,January
556308.2999999999,"United Kingdom",GBR,1996,15.28,26.26,24.65,6.8,0.16,73.14999999999999,58114000,4251039099.9999995,January-1996,January
570985.25,"United Kingdom",GBR,1997,16.81,25.88,24.11,6.34,0.15,73.29,58307000,4273320030.0000005,January-1997,January
580943.91,"United Kingdom",GBR,1998,16.34,28.43,24.79,6.58,0.17,76.31,58510000,4464898100,January-1998,January
581888.22,"United Kingdom",GBR,1999,16.57,28.12,24.36,6.73,0.2,75.98,58716000,4461241680,January-1999,January
593457.48,"United Kingdom",GBR,2000,17.25,28.5,24.15,6.81,0.36,77.07000000000001,58923000,4541195610,January-2000,January
595903.9500000001,"United Kingdom",GBR,2001,17.41,29.11,25.55,5.55,0.84,78.46,59124000,4638869040,January-2001,January
616042.57,"United Kingdom",GBR,2002,19.07,29.08,24.12,5.92,1.04,79.23,59326000,4700398980,January-2002,January
656611.3,"United Kingdom",GBR,2003,20.95,29.76,25.93,5.67,0.61,82.92,59561000,4938798120,January-2003,January
677405.2,"United Kingdom",GBR,2004,21.89,30.97,25.86,5.84,0.38,84.94,59873000,5085612620,January-2004,January
657970.1699999999,"United Kingdom",GBR,2005,20.68,30.79,25.83,5.86,0.36,83.52,60288000,5035253760,January-2005,January
681098.8899999999,"United Kingdom",GBR,2006,21.74,30.73,26.89,5.94,0.41,85.71,60821000,5212967910,January-2006,January
681109.06,"United Kingdom",GBR,2007,21.92,29.02,27.4,6.12,0.67,85.13000000000001,61455000,5231664150.000001,January-2007,January
650716.16,"United Kingdom",GBR,2008,20.89,28.16,26.08,5.79,0.58,81.5,62145000,5064817500,January-2008,January
629636.65,"United Kingdom",GBR,2009,19.51,28.98,26.12,5.38,0.79,80.78,62829000,5075326620,January-2009,January
626691.24,"United Kingdom",GBR,2010,19.43,30.23,25.78,4.8,0.81,81.05,63460000,5143433000,January-2010,January
623269.21,"United Kingdom",GBR,2011,18.76,30.81,26.69,4.68,1.52,82.46,64022000,5279254120,January-2011,January
621283.27,"United Kingdom",GBR,2012,18.71,31.69,26.51,4.23,1.76,82.90000000000002,64525000,5349122500.000001,January-2012,January
1065848.98,"United States",USA,1985,48.71,30.61,29.44,0.72,0.86,110.33999999999999,240500000,26536769999.999996,January-1985,January
1019173.45,"United States",USA,1993,42,43.1,30,0.65,0.73,116.48,259532000,30230287360,January-1993,January
469043.32999999996,Vietnam,VNM,2016,11.92,13.52,37.66,0.15,0.16,63.40999999999999,93640000,5937712399.999999,January-2016,January
589710.85,"United Kingdom",GBR,2015,17.7,31.16,23.43,4.77,1.53,78.58999999999999,65860000,5175937399.999999,January-2015,January
1044509.2,"United States",USA,1979,48.13,25.92,30.83,0.67,1.04,106.59000000000002,227339008,24232064862.720005,January-1979,January
81855,Vietnam,VNM,1961,1.97,1.64,7.37,0.03,0.04,11.049999999999999,33666000,372009299.99999994,January-1961,January
125721.28,Vietnam,VNM,1995,2.37,2.3,13.16,0.05,0.22,18.099999999999998,74910000,1355870999.9999998,January-1995,January
954410.0800000001,"United States",USA,2011,36.84,51.44,26.81,0.4,0.8,116.29,311584000,36234103360,January-2011,January
80457.98000000001,Vietnam,VNM,1968,1.98,1.72,6.98,0.08,0.06,10.82,41194000,445719080,January-1968,January
1165431.71,"United States",USA,1976,58.81,22.82,25.55,0.82,1.04,109.03999999999999,221086000,24107217440,January-1976,January
68366.34,Vietnam,VNM,1980,1.87,1.75,5.31,0.02,0.08,9.03,54282000,490166459.99999994,January-1980,January
116231.31999999999,Vietnam,VNM,1993,2.33,2.29,11.7,0.04,0.2,16.56,72300000,1197288000,January-1993,January
1020113.76,"United States",USA,1991,43.13,41.03,28.67,0.7,0.75,114.28,254539008,29088717834.24,January-1991,January
101602.58000000002,Vietnam,VNM,1986,2.16,2.11,9.81,0.05,0.14,14.270000000000001,62294000,888935380.0000001,January-1986,January
986856.42,"United States",USA,1964,46.96,17.05,29.04,1.75,1.1,95.9,197408000,18931427200,January-1964,January
1050536.21,"United States",USA,1981,47.81,27.57,31.41,0.71,0.98,108.47999999999999,231636000,25127873279.999996,January-1981,January
1054563.96,"United States",USA,1983,48.41,28.76,29.62,0.75,0.94,108.48,236030000,25604534400,January-1983,January
1053583.74,"United States",USA,1984,48.23,29.57,29.32,0.76,0.87,108.75000000000001,238256992,25910447880.000004,January-1984,January
609549.94,"United Kingdom",GBR,2013,18.12,31.55,25.79,4.49,1.54,81.49000000000001,64984000,5295546160.000001,January-2013,January
1045019.61,"United States",USA,2001,42.8,47.57,29.16,0.56,0.69,120.78,284608000,34374954240,January-2001,January
1057801.33,"United States",USA,2005,42.25,52.62,29.18,0.48,0.77,125.30000000000001,294993984,36962746195.200005,January-2005,January
127957.89,Vietnam,VNM,1996,2.28,2.55,13.57,0.06,0.22,18.679999999999996,76069000,1420968919.9999998,January-1996,January
228776.68000000002,Vietnam,VNM,2005,3.03,4.7,26.85,0.11,0.25,34.94,83833000,2929125020,January-2005,January
944209.26,"United States",USA,2013,36.24,50.01,27.64,0.43,0.81,115.13000000000001,316400992,36427246208.96001,January-2013,January
336137.07,Vietnam,VNM,2009,5.57,9.95,34.39,0.15,0.3,50.35999999999999,87092000,4385953119.999999,January-2009,January
937605.3099999999,"United States",USA,1963,43.68,16.61,29.24,1.98,1.1,92.61,194932000,18052652520,January-1963,January
1041783.26,"United States",USA,1996,43.83,44.68,28.07,0.55,0.72,117.84999999999998,268335008,31623280692.799995,January-1996,January
968286.5499999999,"United States",USA,2014,37.44,51.17,27.69,0.46,0.81,117.57,318672992,37466383669.439995,January-2014,January
996633.09,"United States",USA,2017,37.08,55.68,30.02,0.51,0.81,124.1,325084992,40343047507.2,January-2017,January
81618.75,Vietnam,VNM,1967,1.91,1.73,7.42,0.03,0.07,11.159999999999998,40073000,447214679.99999994,January-1967,January
105350.92000000001,Vietnam,VNM,1991,2.35,2.34,9.81,0.03,0.18,14.709999999999999,69437000,1021418269.9999999,January-1991,January
